"","Year","Month","PF","PV","cases","Population","cell","prcp","tmean","source"
"1",1989,1,NA,NA,NA,NA,"adjacent",3.74516124110068,25.8000011444092,"cru"
"2",1989,1,NA,NA,NA,NA,"station",5.80000009844381,22.3999996185303,"cru"
"3",1989,2,NA,NA,NA,NA,"adjacent",10.5241383519666,26.2000007629395,"cru"
"4",1989,2,NA,NA,NA,NA,"station",13.4448273757408,22.3999996185303,"cru"
"5",1989,3,NA,NA,NA,NA,"adjacent",6.14193577920236,26.8000011444092,"cru"
"6",1989,3,NA,NA,NA,NA,"station",7.91935483870968,23,"cru"
"7",1989,4,NA,NA,NA,NA,"adjacent",1.67333335876465,25.8000011444092,"cru"
"8",1989,4,NA,NA,NA,NA,"station",2.58666661580404,22.5,"cru"
"9",1989,5,NA,NA,NA,NA,"adjacent",0.664516141337732,24.5,"cru"
"10",1989,5,NA,NA,NA,NA,"station",1.00645163751418,21.8000011444092,"cru"
"11",1989,6,NA,NA,NA,NA,"adjacent",1.64333330790202,23.5,"cru"
"12",1989,6,NA,NA,NA,NA,"station",2.14333343505859,21.2000007629395,"cru"
"13",1989,7,NA,NA,NA,NA,"adjacent",0.241935483870968,23,"cru"
"14",1989,7,NA,NA,NA,NA,"station",0.519354851015152,20.7000007629395,"cru"
"15",1989,8,NA,NA,NA,NA,"adjacent",0.0580645184363087,23.2000007629395,"cru"
"16",1989,8,NA,NA,NA,NA,"station",0.13225806143976,21.2000007629395,"cru"
"17",1989,9,NA,NA,NA,NA,"adjacent",0.336666679382323,23.7000007629395,"cru"
"18",1989,9,NA,NA,NA,NA,"station",0.80333334604899,21.8000011444092,"cru"
"19",1989,10,NA,NA,NA,NA,"adjacent",0.264516122879521,23.8999996185303,"cru"
"20",1989,10,NA,NA,NA,NA,"station",1.24193548387097,21.8000011444092,"cru"
"21",1989,11,NA,NA,NA,NA,"adjacent",0.116666666666667,25,"cru"
"22",1989,11,NA,NA,NA,NA,"station",0.660000038146973,22.5,"cru"
"23",1989,12,NA,NA,NA,NA,"adjacent",0.116129036872618,25,"cru"
"24",1989,12,NA,NA,NA,NA,"station",0.364516135184997,22.2000007629395,"cru"
"25",1990,1,4,53,57,157607,"adjacent",1.20000002461095,26.7000007629395,"cru"
"26",1990,1,4,53,57,157607,"station",1.91935483870968,23.3999996185303,"cru"
"27",1990,2,1,51,52,157607,"adjacent",4.39655172413793,26.8000011444092,"cru"
"28",1990,2,1,51,52,157607,"station",6.02068986563848,23,"cru"
"29",1990,3,3,52,55,157607,"adjacent",2.11290322580645,27.2000007629395,"cru"
"30",1990,3,3,52,55,157607,"station",2.91935483870968,23.2000007629395,"cru"
"31",1990,4,3,33,36,157607,"adjacent",1.78666674296061,26.8000011444092,"cru"
"32",1990,4,3,33,36,157607,"station",3.01999994913737,23.5,"cru"
"33",1990,5,4,55,59,157607,"adjacent",0.690322568339687,25.8999996185303,"cru"
"34",1990,5,4,55,59,157607,"station",1.07096776654644,23.2000007629395,"cru"
"35",1990,6,1,22,23,157607,"adjacent",0.70333334604899,24.8000011444092,"cru"
"36",1990,6,1,22,23,157607,"station",1.07666664123535,22.3000011444092,"cru"
"37",1990,7,6,76,82,157607,"adjacent",0.170967748088221,23.5,"cru"
"38",1990,7,6,76,82,157607,"station",0.367741953942084,21.2000007629395,"cru"
"39",1990,8,6,30,36,157607,"adjacent",0.0806451612903226,23.3999996185303,"cru"
"40",1990,8,6,30,36,157607,"station",0.17741935483871,21.3999996185303,"cru"
"41",1990,9,0,24,24,157607,"adjacent",0.583333333333333,23.8999996185303,"cru"
"42",1990,9,0,24,24,157607,"station",1.25333340962728,22,"cru"
"43",1990,10,2,60,62,157607,"adjacent",0.467741935483871,24.2000007629395,"cru"
"44",1990,10,2,60,62,157607,"station",2.03548394480059,22.1000003814697,"cru"
"45",1990,11,6,46,52,157607,"adjacent",0.163333336512248,25.3000011444092,"cru"
"46",1990,11,6,46,52,157607,"station",0.933333333333333,22.8000011444092,"cru"
"47",1990,12,1,74,75,157607,"adjacent",0.561290310275171,25.6000003814697,"cru"
"48",1990,12,1,74,75,157607,"station",1.73548384635679,22.8000011444092,"cru"
"49",1991,1,9,29,38,163069.6364,"adjacent",1.31612900764711,26.1000003814697,"cru"
"50",1991,1,9,29,38,163069.6364,"station",2.00967739474389,22.8000011444092,"cru"
"51",1991,2,12,80,92,163069.6364,"adjacent",4.54137920511179,27.3000011444092,"cru"
"52",1991,2,12,80,92,163069.6364,"station",6.06206907075028,23.5,"cru"
"53",1991,3,15,75,90,163069.6364,"adjacent",3.40967756702055,27.6000003814697,"cru"
